matrix,row,col
S,8404,13094
I,J,V
2645.0,164.0,1.0
4769.0,164.0,-1.0
4795.0,164.0,1.0
4800.0,164.0,-1.0
1113.0,165.0,-1.0
2638.0,165.0,1.0
2645.0,165.0,-1.0
4361.0,165.0,-1.0
4367.0,165.0,1.0
4800.0,165.0,1.0
1992.0,166.0,1.0
2636.0,166.0,1.0
3518.0,166.0,-1.0
4178.0,166.0,-1.0
1994.0,167.0,1.0
2638.0,167.0,1.0
3521.0,167.0,-1.0
4179.0,167.0,-1.0
1996.0,168.0,1.0
2639.0,168.0,1.0
3523.0,168.0,-1.0
4180.0,168.0,-1.0
1446.0,169.0,-1.0
1994.0,169.0,1.0
2638.0,169.0,1.0
2645.0,169.0,-1.0
4361.0,169.0,-1.0
4367.0,169.0,1.0
2122.0,170.0,-1.0
2642.0,170.0,1.0
3518.0,170.0,-1.0
4799.0,170.0,-1.0
4802.0,170.0,1.0
2210.0,171.0,-1.0
3518.0,171.0,-1.0
4768.0,171.0,1.0
4794.0,171.0,-1.0
4802.0,171.0,1.0
2213.0,172.0,-1.0
3521.0,172.0,-1.0
4769.0,172.0,1.0
4795.0,172.0,-1.0
4803.0,172.0,1.0
1977.0,173.0,-1.0
1984.0,173.0,1.0
2638.0,173.0,1.0
3521.0,173.0,-1.0
1446.0,174.0,1.0
3521.0,174.0,1.0
3710.0,174.0,-1.0
4361.0,174.0,-1.0
4367.0,174.0,1.0
1299.0,175.0,-1.0
2645.0,175.0,1.0
3521.0,175.0,1.0
3529.0,175.0,-1.0
3710.0,175.0,1.0
1103.0,176.0,1.0
2642.0,176.0,1.0
3518.0,176.0,1.0
3526.0,176.0,-1.0
4508.0,176.0,-1.0
4799.0,176.0,-1.0
3521.0,177.0,-2.0
3529.0,177.0,1.0
4179.0,177.0,-1.0
4373.0,177.0,1.0
4380.0,177.0,-1.0
5525.0,177.0,1.0
1299.0,178.0,-1.0
3521.0,178.0,1.0
4373.0,178.0,-1.0
4380.0,178.0,1.0
5525.0,178.0,1.0
1087.0,179.0,1.0
2072.0,179.0,-1.0
3101.0,179.0,1.0
